sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,6,4,none,television,or,radio,2,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,67,7+,y.,skilled,employee,yes,4,own,real,estate,unknown,or,no,savings,account,1,yes,less-than,0,cu,0,,,,,,,,,,,,,,,,,,,
5951,48,2,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,22,1,to,4,y.,skilled,employee,yes,2,own,real,estate,less-than,100,cu,1,none,0,to,200,cu,1,,,,,,,,,,,,,,,,
2096,12,2,none,education,1,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,49,4,to,7,y.,unskilled,resident,yes,3,own,real,estate,less-than,100,cu,2,none,no,checking,account,0,,,,,,,,,,,,,,,,,,,,,
7882,42,2,guarantor,furniture,or,equipment,1,none,existing,credits,paid,back,duly,till,now,male,single,45,4,to,7,y.,skilled,employee,yes,4,for,free,building,society,savings,agreement,or,life,insurance,less-than,100,cu,2,none,less-than,0,cu,0,,,,,,,,,,,,,,,
4870,24,3,none,new,car,2,none,delay,in,paying,off,in,the,past,male,single,53,1,to,4,y.,skilled,employee,yes,4,for,free,unknown,or,no,property,less-than,100,cu,2,none,less-than,0,cu,1,,,,,,,,,,,,,,,,,,,
9055,36,2,none,education,1,none,existing,credits,paid,back,duly,till,now,male,single,35,1,to,4,y.,unskilled,resident,yes,4,for,free,unknown,or,no,property,unknown,or,no,savings,account,2,yes,no,checking,account,0,,,,,,,,,,,,,,,,,,
2835,24,3,none,furniture,or,equipment,1,none,existing,credits,paid,back,duly,till,now,male,single,53,7+,y.,skilled,employee,yes,4,own,building,society,savings,agreement,or,life,insurance,500,to,1000,cu,1,none,no,checking,account,0,,,,,,,,,,,,,,,,,
6948,36,2,none,used,car,1,none,existing,credits,paid,back,duly,till,now,male,single,35,1,to,4,y.,management,or,self-employed,or,highly,qualified,employee,yes,2,rent,car,or,other,less-than,100,cu,1,yes,0,to,200,cu,0,,,,,,,,,,,,,,,
3059,12,2,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,male,divorced,or,separated,61,4,to,7,y.,unskilled,resident,yes,4,own,real,estate,greater-than,1000,cu,1,none,no,checking,account,0,,,,,,,,,,,,,,,,,,,
5234,30,4,none,new,car,2,none,critical,account,or,other,credits,existing(not,at,this,bank),male,married,or,widowed,28,unemployed,management,or,self-employed,or,highly,qualified,employee,yes,2,own,car,or,other,less-than,100,cu,1,none,0,to,200,cu,1,,,,,,,,,,,,,,
1295,12,3,none,new,car,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,25,less-than,1,y.,skilled,employee,yes,1,rent,car,or,other,less-than,100,cu,1,none,0,to,200,cu,1,,,,,,,,,,,,,,,,,
4308,48,3,none,business,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,24,less-than,1,y.,skilled,employee,yes,4,rent,building,society,savings,agreement,or,life,insurance,less-than,100,cu,1,none,less-than,0,cu,1,,,,,,,,,,,,,,,
1567,12,1,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,22,1,to,4,y.,skilled,employee,yes,1,own,car,or,other,less-than,100,cu,1,yes,0,to,200,cu,0,,,,,,,,,,,,,,,
1199,24,4,none,new,car,2,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,60,7+,y.,unskilled,resident,yes,4,own,car,or,other,less-than,100,cu,1,none,less-than,0,cu,1,,,,,,,,,,,,,,,,,,,,,
1403,15,2,none,new,car,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,28,1,to,4,y.,skilled,employee,yes,4,rent,car,or,other,less-than,100,cu,1,none,less-than,0,cu,0,,,,,,,,,,,,,,,,,
1282,24,4,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,32,1,to,4,y.,unskilled,resident,yes,2,own,car,or,other,100,to,500,cu,1,none,less-than,0,cu,1,,,,,,,,,,,,,,,
2424,24,4,none,television,or,radio,2,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,53,7+,y.,skilled,employee,yes,4,own,building,society,savings,agreement,or,life,insurance,unknown,or,no,savings,account,1,none,no,checking,account,0,,,,,,,,,,,,,,
8072,30,2,none,business,3,bank,no,credits,or,all,paid,male,single,25,less-than,1,y.,skilled,employee,yes,3,own,car,or,other,unknown,or,no,savings,account,1,none,less-than,0,cu,0,,,,,,,,,,,,,,,,,,,,,,,
12579,24,4,none,used,car,1,none,existing,credits,paid,back,duly,till,now,female,divorced,or,separated,or,married,44,7+,y.,management,or,self-employed,or,highly,qualified,employee,yes,2,for,free,unknown,or,no,property,less-than,100,cu,1,yes,0,to,200,cu,1,,,,,,,,,,,
3430,24,3,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,male,single,31,7+,y.,skilled,employee,yes,2,own,car,or,other,500,to,1000,cu,2,yes,no,checking,account,0,,,,,,,,,,,,,,,,,,,,,
2134,9,4,none,new,car,3,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,48,1,to,4,y.,skilled,employee,yes,4,own,car,or,other,less-than,100,cu,1,yes,no,checking,account,0,,,,,,,,,,,,,,,,,,,
2647,6,2,none,television,or,radio,1,none,existing,credits,paid,back,duly,till,now,male,single,44,1,to,4,y.,skilled,employee,yes,3,rent,real,estate,500,to,1000,cu,2,none,less-than,0,cu,0,,,,,,,,,,,,,,,,,,,,
2241,10,1,none,new,car,2,none,critical,account,or,other,credits,existing(not,at,this,bank),male,single,48,less-than,1,y.,unskilled,resident,no,3,rent,real,estate,less-than,100,cu,2,none,less-than,0,cu,0,,,,,,,,,,,,,,,,,,,,,
